url,name,MaSanPham,author,NXB,NgayPhatHanh,kichthuoc,sotrang,gioithieu,giatien
http://nhanam.com.vn/sach/16942/tin-nguong-tho-mau-tu-phu---chon-thieng-noi-c,Tín ngưỡng thờ Mẫu Tứ phủ - Chốn thiêng nơi cõi thực (TB 2019),8935235221437,Thạc sĩ Trần Quang Dũng (chủ biên),Thế Giới,Ngày phát hành: 14-05-2019,Kích thước: 17x25 cm,Số trang: 151,"Trong đời sống tinh thần của người Việt, niềm tin tâm linh có vai trò vô cùng quan trọng và là biểu hiện sinh động của văn hóa Việt. Tín ngưỡng không chỉ giúp xoa dịu nỗi đau và thiệt thòi của số phận, mà còn động viên, dẫn dắt mỗi kiếp người không ngừng hướng thiện, vượt khó vươn lên trong cuộc sống. Trong các tín ngưỡng ở Việt Nam, Tín ngưỡng thờ Mẫu Tứ phủ là tín ngưỡng nội sinh mang bản sắc Việt. Trải bao thăng trầm và có lúc bị cấm đoán, Tín ngưỡng vẫn âm thầm được gìn giữ, thực hành trong một cộng đồng dân tộc. Ngày nay, tín ngưỡng ấy đã trở thành một trong những biểu tượng của văn hóa Việt cũng và di sản văn hóa phi vật thể của nhân loại.",138.000đ
http://nhanam.com.vn/sach/16801/thu-thi-kien-thuc-lop-4,Thủ thỉ kiến thức lớp 4,8935235220263,Mitsuharu Ohyama,Thế Giới,Ngày phát hành: 22-01-2019,Kích thước: 15 x 20.5 cm,Số trang: 199,Cuốn,88.000đ
http://nhanam.com.vn/sach/11547/suc-manh-cua-nguoi-me-nhat,Sức mạnh của người mẹ Nhật,8935235217225,An Minjung,Thế Giới,Ngày phát hành: 25-06-2018,Kích thước: 14x20.5 cm,Số trang: 276,"Cuộc đời tác giả Ahn Min Jung bắt đầu thay đổi từ khi gặp người chồng Trung Quốc giỏi tiếng Nhật. Sau nhiều thăng trầm và đi tới kết hôn, cô đã sinh được một bé gái xinh đẹp tên là Lena và bắt đầu nuôi dạy con ở Nhật. Cuốn sách này kể lại hành trình nuôi dạy con mà người mẹ Hàn đích thân trải nghiệm trong quá trình nuôi dạy con gái tại Nhật, được trình bày với sự quan sát và văn phong báo chí đặc trưng của một phóng viên. Những bài tiểu luận dựa trên kinh nghiệm có thực của gia đình",95.000đ
http://nhanam.com.vn/sach/16816/tarot-nhap-mon,Tarot nhập môn,8935235220584,Kim Huggens,Hà Nội,Ngày phát hành: 24-01-2019,"Kích thước: 14 x 20,5 ",Số trang: 455,"Tarot – bộ môn vừa mang màu sắc chiêm đoán vừa mang tính nghệ thuật. Mỗi lá bài đem đến cho bạn những thông điệp được ẩn giấu từ quá khứ, hiện tại hoặc tương lai. Từng lá bài giống như một “bảo tàng nghệ thuật” thu nhỏ – từng bức tranh được gửi gắm trong đó đều chứa những thông điệp về nhân sinh quan.",120.000đ
http://nhanam.com.vn/sach/16800/how-food-works---hieu-het-ve-thuc-an,How Food Works - Hiểu hết về thức ăn,8935235220485,Trần Trương Phúc Hạnh,Thế Giới,Ngày phát hành: 22-01-2019,"Kích thước: 19,5 x 23,5 cm ",Số trang: 255,Hướng dẫn đơn giản nhất và trực quan nhất từ trước đến nay về thức ăn và dinh dưỡng!,300.000đ
http://nhanam.com.vn/sach/16833/cool-series---toan-hoc-sieu-hay,Cool Series - Toán học siêu hay,8935235219915,Katie Hewett - Tracie Young,Thế Giới,Ngày phát hành: 08-02-2019,"Kích thước: 20,5 x 15,5",Số trang: 112,"Có thể toán là nhạt nhẽo và không hề đặc sắc với những người không sẵn sàng hiểu nó, nhưng với những người còn lại, toán là nơi mà phép màu và điều kỳ diệu tồn tại trong hình hài của những con số và phương trình, trong những lý thuyết và công thức. Toán đem đến sự tươi mới cho thế giới bình thường này và biến một tình huống tẻ nhạt trở thành niềm vui bất tận đến không thể tin được.",85.000đ
http://nhanam.com.vn/sach/12563/cung-con-di-qua-tuoi-teen,Cùng con đi qua tuổi teen,8935235217409,Chu Hồng Vân,Lao động,Ngày phát hành: 28-06-2018,Kích thước: 14 x 20.5cm,Số trang: 392,"Khi con bước vào tuổi dậy thì ẩm ương, dở trẻ con dở người lớn, thì cũng là lúc nhiều cha mẹ thường xuyên ở trong trạng thái bối rối, lo âu, thậm chí tăng xông, sốc nặng. Tại sao con bỗng nhiên ngang như cua? Tại sao con tức giận bừng bừng chỉ vì một lý do bé tí? Tại sao con thích một mình? Tại sao con lơ là gia đình mà thân thiết với bạn bè? Tại sao con ăn mặc không giống ai? Tại sao con yêu bạn khác giới? Tại sao con tò mò về sex? Có 1001 các vấn đề của tuổi teen nhưng hình như ngoài chuyện học hành ra, cha mẹ không mấy quan tâm.  Nhưng nếu cha mẹ biết đứa trẻ cảm thấy cô đơn, không được chia sẻ, căng thẳng và thậm chí tổn thương đến thế nào…",108.000đ
http://nhanam.com.vn/sach/11552/co-phai-tai-con-dau,Có phải tại con đâu!,8935235217065,Isabelle Filliozat,Thế Giới,Ngày phát hành: 26-06-2018,Kích thước: 16x20.5 cm,Số trang: 176,"Khi trẻ đã lên 6, các bậc cha mẹ tưởng như được dễ thở hơn bởi không còn phải đối mặt với những trận ăn vạ, những cơn gào khóc nhưng thay vì thế thì: chạy nhảy khắp nơi, quên đồ đạc, không tập trung nổi, mất lòng tin, nổi khùng lên trước một việc nhỏ nhặt, hung hăng khi ở trường, khó chịu nơi bàn ăn, tè dầm ra giường,… - Những thử thách mới trong một chặng đường mới! Và liệu những la hét, quát mắng hay hình phạt có phải là giải pháp hay chỉ càng đổ thêm dầu vào lửa?",75.000đ
http://nhanam.com.vn/sach/12557/10-ky-quan-kien-truc-the-gioi,10 Kỳ quan kiến trúc thế giới,8935235217027,Alain Boyer,Thông Tấn,Ngày phát hành: 03-07-2018,Kích thước: 25x25 cm,Số trang: 50,,109.000đ
http://nhanam.com.vn/sach/11551/10-buc-tranh-dep-nhat-lich-su-hoi-hoa,10 bức tranh đẹp nhất lịch sử hội họa,8935235217010,Sophie Crépon,Thông Tấn,Ngày phát hành: 03-07-2018,Kích thước: 25x25 cm,Số trang: 50,,109.000đ
