url,name,MaSanPham,author,NXB,NgayPhatHanh,kichthuoc,sotrang,gioithieu,giatien
http://nhanam.com.vn/sach/16941/cai-noi-gi-the,Cái nồi gì thế?,8935235221697,Hoàng Nhật,Hội nhà văn,Ngày phát hành: 14-05-2019,Kích thước: 14 x 20.5cm,Số trang: 236,"“Gã đồng nghiệp đưa hẳn cho Zozo năm trăm mười lăm ngàn, không quên nói vọng theo sau lưng anh: ‘Tôi nể ông thật đấy. Vẫn nhớ ngày kỷ niệm yêu nhau sau bảy năm trời, thế mà lại quên mặc quần khi ra đường!’",88.000đ
http://nhanam.com.vn/sach/16882/california-universities-colleges-va-nhung-die,California Universities & colleges và những điều cần biết khi đi du học Hoa Kỳ,8935235221468,Đỗ Hữu Tâm,Thế Giới,Ngày phát hành: 04-04-2019,Kích thước: 14x20.5 cm,Số trang: 262,"“… Nhưng, ở một bình diện quan trọng hơn, thì Dân Trí được nâng cao cũng là nền tảng giúp bảo đảm sự Công bằng trong xã hội và tinh thần Dân chủ trong chính trị nhằm mở rộng hơn nữa cánh cửa Tự do của tư duy. Dân trí được nâng cao thì cũng phong phú hoá đời sống người dân về khía cạnh Văn hoá và Nhân văn, giúp thăng hoa con người một cách cân bằng hơn.",85.000đ
http://nhanam.com.vn/sach/16828/chuyen-nguoi-tay-o-xu-ta,Chuyện người Tây ở xứ ta,8935235220805,Nhiều tác giả,Thế Giới,Ngày phát hành: 19-02-2019,Kích thước: 14 x 20.5cm,Số trang: 267, ,88.000đ
http://nhanam.com.vn/sach/16842/phep-tinh-cua-mot-nho-si,Phép tính của một nho sĩ,8935235220768,Trần Vũ,Hội nhà văn,Ngày phát hành: 28-02-2019,"Kích thước: 14 x 20,5cm",Số trang: 223,"Nhắc đến thành tựu truyện ngắn đương đại mà không kể đến Trần Vũ là một thiếu sót lớn. Đặc trưng của tác giả là những câu chữ hoặc đau đớn đến tan nát, hoặc táo bạo, lạnh lùng đến sắc rợn; các thủ pháp lạ hóa, biến đổi hiện thực, huyền ảo được tận dụng tối đa để khai phá mối tương quan giữa lịch sử, hiện thực, bạo lực và tình dục. Văn của Trần Vũ khước từ sự lưng chừng, mơ hồ, luôn đẩy sức căng đến những góc cạnh cực đoan nhất và tìm thấy con người hoặc ở nơi sâu thẳm, hoặc chốn man rợ khốn cùng.",86.000đ
http://nhanam.com.vn/sach/16846/qua-tre-de-chet-hanh-trinh-nuoc-my-tb-2019,Quá trẻ để chết : Hành trình nước Mỹ ( TB 2019),8935235220874,Đinh Hằng,Hội nhà văn,Ngày phát hành: 15-03-2019,Kích thước: 14 x 20.5 cm,Số trang: 217,"Ngay cả những cánh bồ công anh đang nương theo cơn gió của mình cũng có hành trình riêng của chúng. Tớ hay đằng ấy, mỗ người trong chúng a đều có một con đường. Số phận đặt  chúng ta lên con đường đó, nhưng đi đến đâu làm được gì là việc của mỗi người. Đây chưa phải là điểm dừng của đằng ấy đâu. Hãy đi theo cơn gió của mình đi.",79.000đ
http://nhanam.com.vn/sach/16954/song-ngan-khi-to-khi-mo,Sông ngân khi tỏ khi mờ,8935235221505,Nguyễn Quang Riệu,Thế Giới,Ngày phát hành: 31-05-2019,Kích thước: 14 x 20.5cm,Số trang: 184,"Trong cuốn sách này, Giáo sư Nguyễn Quang Riệu, nhà khoa học danh tiếng, nhà vật lý thiên văn có đóng góp đáng kể trong lĩnh vực vật lý thiên văn vô tuyến của thế giới trong những năm 1970, đã giúp các bạn đọc trẻ có được vốn hiểu biết cơ bản về vũ trụ: những người cổ đại, từ Ai Cập, Babylon, Hy Lạp đến Trung Hoa có quan niệm thế nào về vũ trụ, vũ trụ ẩn hiện trong văn hóa dân gian Việt Nam ra sao, rồi cũng vũ trụ ấy được nhìn từ phương diện khoa học: nguồn gốc và sự hình thành vũ trụ, trong đó có dải Ngân hà và hệ Mặt Trời, nơi chúng ta đang sống…",77.000đ
http://nhanam.com.vn/sach/16884/ha-noi-bam-sau-pho-phuong---danh-tac,Hà nội băm sáu phố phường - Danh tác,8935235221178,Thạch Lam,Hội nhà văn,Ngày phát hành: 04-04-2019,Kích thước: 14x20.5 cm,Số trang: 124,"“Có ai buổi trưa vắng hay buổi đêm khuya, đi qua các nhà cô đào, và các chị em thanh lâu, thấy họ ăn cái quà ấy một ",50.000đ
http://nhanam.com.vn/sach/16771/ngoai-kia-troi-rat-xanh,"Ngoài kia, trời rất xanh",8935235220287,Trần Thị Cúc Phương,Hội nhà văn,Ngày phát hành: 02-01-2019,Kích thước: 14x20.5 cm,Số trang: 255,"Ung thư là hành trình khắc nghiệt đối với bất kỳ ai. Tác cuốn sách này không còn nữa, nhưng những trang viết chị để lại về những ngày tháng cuối cùng của đời mình đã lưu lại hình ảnh chị theo một cách đẹp nhất và con người nhất. Với chị ung thư không chỉ là chuyện chữa bệnh, đó là hành trình nhận thức bản thân mãnh liệt, để giữa lúc vật vã vì nỗi đau đớn và niềm khát sống vẫn biết làm đẹp cho bản thân, biết cảm thông, biết gói ghém cuộc đời mình và gửi yêu thương cho những người ở lại.",88.000đ
http://nhanam.com.vn/sach/16903/chan-di-khong-moi-tb-2019,Chân đi không mỏi ( TB 2019),8935235221260,Đinh Hằng,Hội nhà văn,Ngày phát hành: 25-04-2019,Kích thước: 14 x 20.5cm,Số trang: 283,Đinh Hằng của cuốn sách mới này vẫn là Đinh Hằng của ,98.000đ
http://nhanam.com.vn/sach/17953/de-con-duoc-chich---hieu-het-ve-vac-xin-va-mi,Để con được chích - Hiểu hết về vắc xin và miễn dịch,8935235222694,BS. Vân Hương,Thế Giới,Ngày phát hành: 28-06-2019,Kích thước: 14 x 20.5 cm,Số trang: 296,"Bạn có phân vân trong việc đưa con đi tiêm chủng? Bạn có lo ngại về thông tin vắc xin MMR (sởi-rubella-quai bị) gây hội chứng tự kỷ? Và thủy ngân, cùng nhôm có thể được truyền vào cơ thể của trẻ cùng các mũi vắc xin? Con của bạn có phải là một trong hàng nghìn đứa trẻ mắc sởi vào mùa xuân 2019? Hay bé đã may mắn không mắc bệnh? Và hệ miễn dịch của trẻ, cùng của chính chúng ta thực ra hoạt động như thế nào?",108.000đ
http://nhanam.com.vn/sach/17007/ve-nha-tb-2019,Về nhà (TB 2019),8935235222588,Phan Việt,Hội nhà văn,Ngày phát hành: 19-07-2019,"Kích thước: 14 x 20,5 ",Số trang: 399,"Bắt đầu từ những bước chân bỡ ngỡ, háo hức nhưng cũng đơn côi, cô độc trong ",109.000đ
http://nhanam.com.vn/sach/17979/ly-ruou-tran-gian,Ly rượu trần gian,8935235222670,Phan Vũ,Hội nhà văn,Ngày phát hành: 16-07-2019,Kích thước: 15x24 cm,Số trang: 144,"Lần đầu tiên những trang viết ngắn của Phan Vũ được tập hợp lại để ra mắt bạn đọc. Những khắc họa chân dung cũng như những ghi chép ngắn gọn về đời sống của ông cho thấy một Phan Vũ thật khác, không chỉ là một nhà thơ, họa sĩ mà còn là một cây bút văn xuôi giàu năng lượng. Như một điều hiển nhiên, ông dành nhiều tình cảm cho Hà Nội, ông kể lại nhiều chuyện buồn vui với thành phố này, và cả câu chuyện đằng sau bài thơ đã làm làm nên cái tên Phan Vũ.",70.000đ
http://nhanam.com.vn/sach/19076/tham-kich-vi-nhan,Thảm kịch vĩ nhân,8935235223967,Hoàng Minh Tường,Hội nhà văn,Ngày phát hành: 20-11-2019,Kích thước: 14 x 20.5 cm,Số trang: 400,"Gần 600 năm trước, khi cuộc chiến chống ngoại bang kết thúc, cũng là lúc cuộc chiến phe cánh trong nội bộ triều đình nhà Lê mở ra. Trong cơn khủng hoảng đó, Nguyễn Trãi trở thành nạn nhân hứng chịu tấn thảm kịch oan khiên nhất, dã man nhất lịch sử nước Việt, mang tên ",117.000đ
http://nhanam.com.vn/sach/19087/nguoi-dua-thu-tinh,Người đưa thư tình,8935235224315,Nguyễn Hoàng Vũ,Hội nhà văn,Ngày phát hành: 29-11-2019,Kích thước: 14x20.5 cm,Số trang: 188," chính là những mảnh vụn cuộc sống qua góc nhìn của tuổi trẻ. Mà tuổi trẻ, ấy là tuổi của những đổ vỡ và làm lại, tuổi của khát vọng và ảo tưởng, của sự nhâng nháo bất cần, của những tiếng thở dài và niềm thiết tha…",79.000đ
http://nhanam.com.vn/sach/16765/viet-nam-su-luoc,Việt Nam Sử Lược,8935235219519,Trần Trọng Kim,Văn học,Ngày phát hành: 27-12-2018,Kích thước: 17 x 25 cm,Số trang: 531,-TRẦN TRỌNG KIM,129.000đ
http://nhanam.com.vn/sach/19086/ky-tuc-xa-phong-307,Ký túc xá phòng 307,8935235224728,Zihua Nguyễn,Hội nhà văn,Ngày phát hành: 29-11-2019,Kích thước: 14x 20.5cm,Số trang: 176,"“Thời sinh viên, trong tôi, ý nghĩ trở thành vĩ nhân luôn thường trực.",69.000đ
http://nhanam.com.vn/sach/16705/mua-ve-so-vao-ngay-nao-thi-de-trung,Mua vé số vào ngày nào thì dễ trúng?,8935235219618,Rob Eastaway,Thế Giới,Ngày phát hành: 30-11-2018,"Kích thước: 14 x 20,5 cm",Số trang: 268,"Bạn lại vừa phải trải qua một ngày thứ Hai điển hình… Buổi sáng bạn quên đun nước pha cà phê trước khi đánh răng, bạn ra khỏi nhà muộn hơn 5 phút so với mọi ngày và ôi thôi – kẹt xe! – Bạn đến công ty muộn mất 30 phút. Sau một ngày làm việc mệt mỏi, bạn tìm cách xả xì trét cho mình bằng cách đi shopping, khi ra về bạn bỗng ngước lên và bắt gặp một khuôn mặt hoàn toàn lạ lẫm nhưng lại đáng yêu nhất từng thấy trong đời đang đi ngược chiều. Sau một phút choáng váng, bạn chợt nhận ra là mình phải làm quen với “người ta” bằng mọi giá, khổ nỗi “người ta” đã ở rất xa theo hướng ngược lại của thang cuốn. Bạn hộc tốc chạy đuổi theo, nhưng vô ích, chẳng thấy đâu nữa rồi. Bạn về nhà, định bụng tắm nước nóng cho thoải mái, thế nhưng không tài nào điều chỉnh cho nước vòi sen có nhiệt độ dễ chịu được cả, chỉ có thể là bỏng rát hoặc lạnh toát.",95.000đ
